 batch  seqlen     fa_ms   base_ms  speedup
     1      32     0.583     0.207     0.36x
     1      64     0.590     0.204     0.35x
     1     128     0.589     0.208     0.35x
     1     256     0.618     0.209     0.34x
     1     512     1.499     0.197     0.13x
     4      32     0.571     0.194     0.34x
     4      64     0.541     0.189     0.35x
     4     128     0.534     0.191     0.36x
     4     256     0.591     0.194     0.33x
     4     512     1.576     0.216     0.14x
    16      32     0.578     0.191     0.33x
    16      64     0.592     0.194     0.33x
    16     128     0.593     0.193     0.32x
    16     256     0.801     0.230     0.29x
    16     512     2.211     0.538     0.24x
    64      32     0.719     0.190     0.26x
    64      64     0.720     0.282     0.39x
    64     128     0.832     0.315     0.38x
    64     256     2.290     0.641     0.28x
    64     512     7.991     1.960     0.25x
   256      32     1.282     0.383     0.30x
   256      64     1.299     0.800     0.62x
   256     128     2.340     0.998     0.43x
   256     256     8.413     2.294     0.27x
   256     512    29.389     7.887     0.27x
   320      32     1.404     0.470     0.33x
   320      64     1.422     1.023     0.72x
   320     128     2.828     1.362     0.48x
   320     256    10.148     2.908     0.29x
   320     512    36.700     9.929     0.27x
  1024      32     3.574     1.183     0.33x
  1024      64     3.751     2.904     0.77x
  1024     128     7.890     3.625     0.46x
  1024     256    31.761    10.001     0.31x
  1024     512   116.753    33.125     0.28x
  2048      32     6.436     2.303     0.36x
  2048      64     8.670     5.602     0.65x
  2048     128    15.105     7.219     0.48x
  2048     256    63.541    20.311     0.32x
  2048     512   232.293    67.369     0.29x
