batch  seqlen     fa_ms   base_ms  speedup
     1      32     0.813     0.216     0.27x
     1      64     0.779     0.200     0.26x
     1     128     0.762     0.182     0.24x
     1     256     0.785     0.197     0.25x
     1     512     0.779     0.193     0.25x
     1    2048     1.012     0.512     0.51x
     1    4096     2.228     1.712     0.77x
     4      32     0.806     0.195     0.24x
     4      64     0.786     0.196     0.25x
     4     128     0.813     0.197     0.24x
     4     256     0.816     0.198     0.24x
     4     512     0.828     0.214     0.26x
     4    2048     2.317     1.689     0.73x
     4    4096     7.522     6.759     0.90x
    16      32     0.808     0.193     0.24x
    16      64     0.806     0.197     0.24x
    16     128     0.833     0.196     0.24x
    16     256     0.821     0.231     0.28x
    16     512     1.348     0.571     0.42x
    16    2048     7.780     6.794     0.87x
    16    4096    29.296    27.550     0.94x
    64      32     0.987     0.205     0.21x
    64      64     0.975     0.290     0.30x
    64     128     1.056     0.330     0.31x
    64     256     1.851     0.681     0.37x
    64     512     3.996     1.885     0.47x
    64    2048    30.764    27.953     0.91x
    64    4096   118.503   113.443     0.96x
   256      32     2.395     0.387     0.16x
   256      64     2.480     0.806     0.33x
   256     128     3.142     1.010     0.32x
   256     256     6.744     2.360     0.35x
   256     512    16.284     8.167     0.50x
   256    2048   128.892   115.733     0.90x
   256    4096   491.870   468.709     0.95x
   320      32     2.982     0.467     0.16x
   320      64     3.112     0.978     0.31x
   320     128     3.993     1.239     0.31x
   320     256     8.908     3.073     0.35x
   320     512    21.505    10.513     0.49x
   320    2048   164.832   146.530     0.89x
   320    4096   618.622   585.803     0.95x
  1024      32    16.276     1.177     0.07x
  1024      64    16.882     2.924     0.17x
  1024     128    19.336     3.782     0.20x
  1024     256    42.687    10.051     0.24x
  1024     512    99.799    34.164     0.34x
