 batch  seqlen     fa_ms   base_ms  speedup
     1      32     0.550     0.215     0.39x
     1      64     0.738     0.208     0.28x
     1     128     0.765     0.200     0.26x
     1     256     0.745     0.192     0.26x
     1     512     0.742     0.200     0.27x
     4      32     0.578     0.198     0.34x
     4      64     0.785     0.197     0.25x
     4     128     0.788     0.198     0.25x
     4     256     0.787     0.199     0.25x
     4     512     0.806     0.209     0.26x
    16      32     0.620     0.189     0.31x
    16      64     0.843     0.189     0.22x
    16     128     0.841     0.188     0.22x
    16     256     0.839     0.225     0.27x
    16     512     1.378     0.551     0.40x
    64      32     0.763     0.190     0.25x
    64      64     0.954     0.275     0.29x
    64     128     1.000     0.314     0.31x
    64     256     1.781     0.664     0.37x
    64     512     3.941     1.976     0.50x
   256      32     1.269     0.386     0.30x
   256      64     2.278     0.835     0.37x
   256     128     2.946     1.044     0.35x
   256     256     6.589     2.329     0.35x
   256     512    16.308     8.066     0.49x
   320      32     1.500     0.451     0.30x
   320      64     2.999     1.013     0.34x
   320     128     3.767     1.277     0.34x
   320     256     8.530     2.996     0.35x
   320     512    21.138    10.250     0.48x
  1024      32     3.506     1.216     0.35x
  1024      64    16.713     2.937     0.18x
  1024     128    19.483     3.683     0.19x
  1024     256    43.063     9.761     0.23x
  1024     512    99.725    33.846     0.34x
