batch,seqlen,nheads,headdim,dtype,causal,softcap,fa_v2_mean_ms,fa_v2_min_ms,fa_v2_tflops,baseline_mean_ms,baseline_min_ms,baseline_tflops,speedup_fa_over_baseline,fa_v2_error,baseline_error
1,32,8,64,fp16,False,0.0,0.7496219980716705,0.7255200147628784,0.0027976126706456307,0.21229639887809754,0.1886799931526184,0.009878415324436111,0.28320460101785877,,
1,64,8,64,fp16,False,0.0,0.7655259990692138,0.7337200045585632,0.010957966169926982,0.21071560055017471,0.19392000138759613,0.03981009463987238,0.27525596884544634,,
4,32,8,64,fp16,False,0.0,0.8240695989131928,0.7620000243186951,0.010179489707013998,0.2092095997929573,0.17858000099658966,0.040096668643798954,0.2538737020136031,,
4,64,8,64,fp16,False,0.0,0.8337579977512359,0.7869799733161926,0.04024480975355089,0.2095364001393318,0.18984000384807587,0.16013652987112448,0.2513156104103125,,
16,32,8,64,fp16,False,0.0,0.8673671948909759,0.7700999975204468,0.03868538284321168,0.2038851997256279,0.18595999479293823,0.16457512386948547,0.23506215236933806,,
16,64,8,64,fp16,False,0.0,0.8439976036548614,0.8136199712753296,0.1590261955943729,0.21171120077371597,0.17443999648094177,0.6339661175671872,0.2508433671575822,,
64,32,8,64,fp16,False,0.0,0.9892064034938812,0.8836600184440613,0.13568222721359507,0.19417920023202895,0.17937999963760376,0.69120548359258,0.19629796122041587,,
64,64,8,64,fp16,False,0.0,0.9961780023574829,0.9182199835777283,0.5389307038797083,0.19412680029869078,0.1738000065088272,2.7655682325879285,0.19487159909101015,,
256,32,8,64,fp16,False,0.0,1.5378784084320067,1.3641799688339233,0.34909841314917994,0.18071639984846116,0.13726000487804413,2.9707924264216774,0.11751020032378005,,
256,64,8,64,fp16,False,0.0,1.3888363981246947,1.358240008354187,1.5462466644017139,0.1849336013197899,0.17545999586582184,11.612187469850543,0.13315722540790287,,
1024,32,8,64,fp16,False,0.0,5.580830430984497,5.512720108032227,0.38479643389221724,0.43691600143909454,0.41967999935150146,4.915094986053872,0.07828870753953719,,
1024,64,8,64,fp16,False,0.0,5.890299625396729,5.740320205688477,1.458318784831161,0.456916401386261,0.4459399878978729,18.79979481134531,0.07757099476166059,,
