batch seqlen fa_ms(1) fa_ms(2) base_ms(1) speedup(1) speedup(2) speedup
1     32     0.583    0.813    0.207      0.36x      0.25x      1.39x  
1     64     0.59     0.779    0.204      0.35x      0.26x      1.32x  
1     128    0.589    0.762    0.208      0.35x      0.27x      1.29x  
1     256    0.618    0.785    0.209      0.34x      0.27x      1.27x  
1     512    1.499    0.779    0.197      0.13x      0.25x      0.52x  
1     2048            1.012                                            
1     4096            2.228                                            
4     32     0.571    0.806    0.194      0.34x      0.24x      1.41x  
4     64     0.541    0.786    0.189      0.35x      0.24x      1.45x  
4     128    0.534    0.813    0.191      0.36x      0.23x      1.52x  
4     256    0.591    0.816    0.194      0.33x      0.24x      1.38x  
4     512    1.576    0.828    0.216      0.14x      0.26x      0.53x  
4     2048            2.317                                            
4     4096            7.522                                            
16    32     0.578    0.808    0.191      0.33x      0.24x      1.40x  
16    64     0.592    0.806    0.194      0.33x      0.24x      1.36x  
16    128    0.593    0.833    0.193      0.33x      0.23x      1.40x  
16    256    0.801    0.821    0.23       0.29x      0.28x      1.02x  
16    512    2.211    1.348    0.538      0.24x      0.40x      0.61x  
16    2048            7.78                                             
16    4096            29.296                                           
64    32     0.719    0.987    0.19       0.26x      0.19x      1.37x  
64    64     0.72     0.975    0.282      0.39x      0.29x      1.35x  
64    128    0.832    1.056    0.315      0.38x      0.30x      1.27x  
64    256    2.29     1.851    0.641      0.28x      0.35x      0.81x  
64    512    7.991    3.996    1.96       0.25x      0.49x      0.50x  
64    2048            30.764                                           
64    4096            118.503                                          
256   32     1.282    2.395    0.383      0.30x      0.16x      1.87x  
256   64     1.299    2.48     0.8        0.62x      0.32x      1.91x  
256   128    2.34     3.142    0.998      0.43x      0.32x      1.34x  
256   256    8.413    6.744    2.294      0.27x      0.34x      0.80x  
256   512    29.389   16.284   7.887      0.27x      0.48x      0.55x  
256   2048            128.892                                          
256   4096            491.87                                           
320   32     1.404    2.982    0.47       0.33x      0.16x      2.12x  
320   64     1.422    3.112    1.023      0.72x      0.33x      2.19x  
320   128    2.828    3.993    1.362      0.48x      0.34x      1.41x  
320   256    10.148   8.908    2.908      0.29x      0.33x      0.88x  
320   512    36.7     21.505   9.929      0.27x      0.46x      0.59x  
320   2048            164.832                                          
320   4096            618.622                                          
1024  32     3.574    16.276   1.183      0.33x      0.07x      4.55x  
1024  64     3.751    16.882   2.904      0.77x      0.17x      4.50x  
1024  128    7.89     19.336   3.625      0.46x      0.19x      2.45x  
1024  256    31.761   42.687   10.001     0.31x      0.23x      1.34x  
1024  512    116.753  99.799   33.125     0.28x      0.33x      0.85x  
2048  32     6.436             2.303      0.36x                        
2048  64     8.67              5.602      0.65x                        
2048  128    15.105            7.219      0.48x                        
2048  256    63.541            20.311     0.32x                        
2048  512    232.293           67.369     0.29x                        
