batch, seqlen, fa_ms(1), fa_ms(2), base_ms(1), speedup(1), speedup(2), speedup
1    , 32    , 0.605   , 0.813   , 0.2       , 0.33x     , 0.25x     , 1.34x  
1    , 64    , 0.53    , 0.779   , 0.196     , 0.37x     , 0.25x     , 1.47x  
1    , 128   , 0.537   , 0.762   , 0.2       , 0.37x     , 0.26x     , 1.42x  
1    , 256   , 0.603   , 0.785   , 0.206     , 0.34x     , 0.26x     , 1.30x  
1    , 512   , 1.527   , 0.779   , 0.202     , 0.13x     , 0.26x     , 0.51x  
1    , 2048  ,         , 1.012   ,           ,           ,           ,        
1    , 4096  ,         , 2.228   ,           ,           ,           ,        
4    , 32    , 0.582   , 0.806   , 0.227     , 0.39x     , 0.28x     , 1.38x  
4    , 64    , 0.591   , 0.786   , 0.232     , 0.39x     , 0.30x     , 1.33x  
4    , 128   , 0.592   , 0.813   , 0.231     , 0.39x     , 0.28x     , 1.37x  
4    , 256   , 0.61    , 0.816   , 0.193     , 0.32x     , 0.24x     , 1.34x  
4    , 512   , 1.559   , 0.828   , 0.239     , 0.15x     , 0.29x     , 0.53x  
4    , 2048  ,         , 2.317   ,           ,           ,           ,        
4    , 4096  ,         , 7.522   ,           ,           ,           ,        
16   , 32    , 0.617   , 0.808   , 0.193     , 0.31x     , 0.24x     , 1.31x  
16   , 64    , 0.589   , 0.806   , 0.224     , 0.38x     , 0.28x     , 1.37x  
16   , 128   , 0.576   , 0.833   , 0.188     , 0.33x     , 0.23x     , 1.45x  
16   , 256   , 0.801   , 0.821   , 0.277     , 0.35x     , 0.34x     , 1.02x  
16   , 512   , 2.242   , 1.348   , 0.579     , 0.26x     , 0.43x     , 0.60x  
16   , 2048  ,         , 7.78    ,           ,           ,           ,        
16   , 4096  ,         , 29.296  ,           ,           ,           ,        
64   , 32    , 0.703   , 0.987   , 0.188     , 0.27x     , 0.19x     , 1.40x  
64   , 64    , 0.711   , 0.975   , 0.415     , 0.58x     , 0.43x     , 1.37x  
64   , 128   , 0.801   , 1.056   , 0.485     , 0.61x     , 0.46x     , 1.32x  
64   , 256   , 2.279   , 1.851   , 1.028     , 0.45x     , 0.56x     , 0.81x  
64   , 512   , 7.543   , 3.996   , 2.899     , 0.38x     , 0.73x     , 0.53x  
64   , 2048  ,         , 30.764  ,           ,           ,           ,        
64   , 4096  ,         , 118.503 ,           ,           ,           ,        
256  , 32    , 1.291   , 2.395   , 0.394     , 0.31x     , 0.16x     , 1.86x  
256  , 64    , 1.272   , 2.48    , 1.495     , 1.18x     , 0.60x     , 1.95x  
256  , 128   , 2.681   , 3.142   , 1.651     , 0.62x     , 0.53x     , 1.17x  
256  , 256   , 9.327   , 6.744   , 3.569     , 0.38x     , 0.53x     , 0.72x  
256  , 512   , 32.864  , 16.284  , 10.48     , 0.32x     , 0.64x     , 0.50x  
256  , 2048  ,         , 128.892 ,           ,           ,           ,        
256  , 4096  ,         , 491.87  ,           ,           ,           ,        
320  , 32    , 1.42    , 2.982   , 0.736     , 0.52x     , 0.25x     , 2.10x  
320  , 64    , 1.615   , 3.112   , 1.879     , 1.16x     , 0.60x     , 1.93x  
320  , 128   , 3.626   , 3.993   , 2.191     , 0.60x     , 0.55x     , 1.10x  
320  , 256   , 12.125  , 8.908   , 4.448     , 0.37x     , 0.50x     , 0.73x  
320  , 512   , 43.804  , 21.505  , 13.292    , 0.30x     , 0.62x     , 0.49x  
320  , 2048  ,         , 164.832 ,           ,           ,           ,        
320  , 4096  ,         , 618.622 ,           ,           ,           ,        
1024 , 32    , 3.582   , 16.276  , 1.909     , 0.53x     , 0.12x     , 4.54x  
1024 , 64    , 4.007   , 16.882  , 5.558     , 1.39x     , 0.33x     , 4.21x  
1024 , 128   , 9.79    , 19.336  , 6.188     , 0.63x     , 0.32x     , 1.98x  
1024 , 256   , 36.082  , 42.687  , 13.815    , 0.38x     , 0.32x     , 1.18x  
1024 , 512   , 129.749 , 99.799  , 42.258    , 0.33x     , 0.42x     , 0.77x  
2048 , 32    , 6.975   ,         , 3.791     , 0.54x     ,           ,        
2048 , 64    , 10.785  ,         , 10.972    , 1.02x     ,           ,        
2048 , 128   , 19.917  ,         , 12.036    , 0.60x     ,           ,        
2048 , 256   , 74.124  ,         , 27.383    , 0.37x     ,           ,        
2048 , 512   , 270.513 ,         , 84.844    , 0.31x     ,           ,        
