batch, seqlen, fa_ms(1), fa_ms(2), base_ms(1), speedup(1), speedup(2), speedup
1    , 32    , 0.55    , 0.813   , 0.215     , 0.39x     , 0.26x     , 1.48x  
1    , 64    , 0.738   , 0.779   , 0.208     , 0.28x     , 0.27x     , 1.06x  
1    , 128   , 0.765   , 0.762   , 0.2       , 0.26x     , 0.26x     , 1.00x  
1    , 256   , 0.745   , 0.785   , 0.192     , 0.26x     , 0.24x     , 1.05x  
1    , 512   , 0.742   , 0.779   , 0.2       , 0.27x     , 0.26x     , 1.05x  
1    , 2048  ,         , 1.012   ,           ,           ,           ,        
1    , 4096  ,         , 2.228   ,           ,           ,           ,        
4    , 32    , 0.578   , 0.806   , 0.198     , 0.34x     , 0.25x     , 1.39x  
4    , 64    , 0.785   , 0.786   , 0.197     , 0.25x     , 0.25x     , 1.00x  
4    , 128   , 0.788   , 0.813   , 0.198     , 0.25x     , 0.24x     , 1.03x  
4    , 256   , 0.787   , 0.816   , 0.199     , 0.25x     , 0.24x     , 1.04x  
4    , 512   , 0.806   , 0.828   , 0.209     , 0.26x     , 0.25x     , 1.03x  
4    , 2048  ,         , 2.317   ,           ,           ,           ,        
4    , 4096  ,         , 7.522   ,           ,           ,           ,        
16   , 32    , 0.62    , 0.808   , 0.189     , 0.30x     , 0.23x     , 1.30x  
16   , 64    , 0.843   , 0.806   , 0.189     , 0.22x     , 0.23x     , 0.96x  
16   , 128   , 0.841   , 0.833   , 0.188     , 0.22x     , 0.23x     , 0.99x  
16   , 256   , 0.839   , 0.821   , 0.225     , 0.27x     , 0.27x     , 0.98x  
16   , 512   , 1.378   , 1.348   , 0.551     , 0.40x     , 0.41x     , 0.98x  
16   , 2048  ,         , 7.78    ,           ,           ,           ,        
16   , 4096  ,         , 29.296  ,           ,           ,           ,        
64   , 32    , 0.763   , 0.987   , 0.19      , 0.25x     , 0.19x     , 1.29x  
64   , 64    , 0.954   , 0.975   , 0.275     , 0.29x     , 0.28x     , 1.02x  
64   , 128   , 1.0     , 1.056   , 0.314     , 0.31x     , 0.30x     , 1.06x  
64   , 256   , 1.781   , 1.851   , 0.664     , 0.37x     , 0.36x     , 1.04x  
64   , 512   , 3.941   , 3.996   , 1.976     , 0.50x     , 0.49x     , 1.01x  
64   , 2048  ,         , 30.764  ,           ,           ,           ,        
64   , 4096  ,         , 118.503 ,           ,           ,           ,        
256  , 32    , 1.269   , 2.395   , 0.386     , 0.30x     , 0.16x     , 1.89x  
256  , 64    , 2.278   , 2.48    , 0.835     , 0.37x     , 0.34x     , 1.09x  
256  , 128   , 2.946   , 3.142   , 1.044     , 0.35x     , 0.33x     , 1.07x  
256  , 256   , 6.589   , 6.744   , 2.329     , 0.35x     , 0.35x     , 1.02x  
256  , 512   , 16.308  , 16.284  , 8.066     , 0.49x     , 0.50x     , 1.00x  
256  , 2048  ,         , 128.892 ,           ,           ,           ,        
256  , 4096  ,         , 491.87  ,           ,           ,           ,        
320  , 32    , 1.5     , 2.982   , 0.451     , 0.30x     , 0.15x     , 1.99x  
320  , 64    , 2.999   , 3.112   , 1.013     , 0.34x     , 0.33x     , 1.04x  
320  , 128   , 3.767   , 3.993   , 1.277     , 0.34x     , 0.32x     , 1.06x  
320  , 256   , 8.53    , 8.908   , 2.996     , 0.35x     , 0.34x     , 1.04x  
320  , 512   , 21.138  , 21.505  , 10.25     , 0.48x     , 0.48x     , 1.02x  
320  , 2048  ,         , 164.832 ,           ,           ,           ,        
320  , 4096  ,         , 618.622 ,           ,           ,           ,        
1024 , 32    , 3.506   , 16.276  , 1.216     , 0.35x     , 0.07x     , 4.64x  
1024 , 64    , 16.713  , 16.882  , 2.937     , 0.18x     , 0.17x     , 1.01x  
1024 , 128   , 19.483  , 19.336  , 3.683     , 0.19x     , 0.19x     , 0.99x  
1024 , 256   , 43.063  , 42.687  , 9.761     , 0.23x     , 0.23x     , 0.99x  
1024 , 512   , 99.725  , 99.799  , 33.846    , 0.34x     , 0.34x     , 1.00x  
